"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 12 19:21:09 MSK 2025","Wed Mar 12 19:21:09 MSK 2025","200","","CreateUserNegativeTest","","CreateUserNegativeTest","createUserWithNoParam[Создание пользователя без email не возможно]","createUserWithNoParam[Создание пользователя без email не возможно]",""
"passed","Wed Mar 12 19:20:44 MSK 2025","Wed Mar 12 19:20:46 MSK 2025","1433","","CreateOrderTest","","CreateOrderTest","createOrder_noIngredients","Создание заказа без ингредиентов не возможно",""
"passed","Wed Mar 12 19:21:10 MSK 2025","Wed Mar 12 19:21:10 MSK 2025","248","","CreateUserNegativeTest","","CreateUserNegativeTest","createUserWithNoParam[Создание пользователя без имени не возможно]","createUserWithNoParam[Создание пользователя без имени не возможно]",""
"passed","Wed Mar 12 19:20:27 MSK 2025","Wed Mar 12 19:20:36 MSK 2025","9025","","ModifyUserTest","","ModifyUserTest","modifyUserAllData","Изменение всех полей пользователя",""
"passed","Wed Mar 12 19:20:53 MSK 2025","Wed Mar 12 19:21:01 MSK 2025","7852","","GetOrdersTest","","GetOrdersTest","getUserOrders_noAuth","Получение заказов пользователя без авторизации не возможна",""
"passed","Wed Mar 12 19:20:38 MSK 2025","Wed Mar 12 19:20:39 MSK 2025","1184","","ModifyUserTest","","ModifyUserTest","modifyUser_notAuthorized","Невозможно изменить пользователя без авторизации",""
"passed","Wed Mar 12 19:20:51 MSK 2025","Wed Mar 12 19:20:52 MSK 2025","1345","","CreateUserTest","","CreateUserTest","createUserWithSameEmail","Создание пользователя с тем же email не возможна",""
"passed","Wed Mar 12 19:20:42 MSK 2025","Wed Mar 12 19:20:43 MSK 2025","1183","","LoginUserTest","","LoginUserTest","loginUserWithInvalidPassword","Логин пользователя с неверным паролем не возможен",""
"passed","Wed Mar 12 19:20:39 MSK 2025","Wed Mar 12 19:20:40 MSK 2025","1349","","LoginUserTest","","LoginUserTest","loginUser","Логин пользователя",""
"passed","Wed Mar 12 19:20:52 MSK 2025","Wed Mar 12 19:20:53 MSK 2025","1006","","CreateUserTest","","CreateUserTest","createUser","Создание пользователя",""
"passed","Wed Mar 12 19:20:49 MSK 2025","Wed Mar 12 19:20:51 MSK 2025","1506","","CreateOrderTest","","CreateOrderTest","createOrder_invalidIngredients","Создание заказа с не валидными ингредиентами не возможно",""
"passed","Wed Mar 12 19:21:09 MSK 2025","Wed Mar 12 19:21:10 MSK 2025","195","","CreateUserNegativeTest","","CreateUserNegativeTest","createUserWithNoParam[Создание пользователя без пароля не возможно]","createUserWithNoParam[Создание пользователя без пароля не возможно]",""
"passed","Wed Mar 12 18:30:50 MSK 2025","Wed Mar 12 18:30:51 MSK 2025","486","","CreateOrderTest","","CreateOrderTest","createOrder","Создание заказа",""
"passed","Wed Mar 12 19:20:36 MSK 2025","Wed Mar 12 19:20:38 MSK 2025","1512","","ModifyUserTest","","ModifyUserTest","modifyUserName","Изменение имени пользователя",""
"passed","Wed Mar 12 19:21:01 MSK 2025","Wed Mar 12 19:21:09 MSK 2025","8322","","GetOrdersTest","","GetOrdersTest","getUserOrders","Получение заказов пользователя",""
"passed","Wed Mar 12 19:20:46 MSK 2025","Wed Mar 12 19:20:49 MSK 2025","3299","","CreateOrderTest","","CreateOrderTest","createOrder_withAuth","Создание заказа с авторизацией",""
"passed","Wed Mar 12 19:20:43 MSK 2025","Wed Mar 12 19:20:44 MSK 2025","1506","","CreateOrderTest","","CreateOrderTest","createOrder_noAuth","Создание заказа без авторизации",""
"passed","Wed Mar 12 19:20:40 MSK 2025","Wed Mar 12 19:20:42 MSK 2025","1221","","LoginUserTest","","LoginUserTest","loginUserWithInvalidEmail","Логин пользователя с неверным email не возможен",""
